Museum ID,Museum Name,Museum Type,Institution Name,City (Administrative Location),State (Administrative Location),Street Address (Physical Location),City (Physical Location),State (Physical Location),Income,Revenue
8409503759,MUSEUM OF CONTEMPORARY ART DETROIT,ART MUSEUM,UNIVERSITY OF DETROIT MERCY,DETROIT,MI,,,,171608106.0,149858972.0
8402600922,MUSEUM OF NEW ART,ART MUSEUM,,PONTIAC,MI,,,,0.0,0.0
8402600699,MUSEUM OF OJIBWA CULTURE,GENERAL MUSEUM,,ST IGNACE,MI,,,,0.0,0.0
8402600490,MUSIC HALL CENTER FOR THE PERFORMING ARTS,SCIENCE & TECHNOLOGY MUSEUM OR PLANETARIUM,,DETROIT,MI,,,,3480679.0,3480679.0
8402600669,MUSIC HOUSE,GENERAL MUSEUM,,ACME,MI,7377 US 31 NORTH,WILLIAMSBURG,MI,272513.0,209148.0
8402600668,MUSKEGON AREA SPORTS HALL OF FAME,GENERAL MUSEUM,,MUSKEGON,MI,,,,0.0,0.0
8402600454,MUSKEGON COUNTY MUSEUM,HISTORY MUSEUM,,MUSKEGON,MI,,,,1540112.0,1514334.0
8402600234,MUSKEGON COUNTY MUSEUM OF AFRICAN AMERICAN HISTORY,HISTORY MUSEUM,,MUSKEGON HEIGHTS,MI,7 CENTER ST,MUSKEGON HEIGHTS,MI,0.0,0.0
8402600879,MUSKEGON MUSEUM OF ART FOUNDATION,ART MUSEUM,,MUSKEGON,MI,,,,856791.0,856791.0
8402600601,MUSKEGON RAILROAD HISTORICAL SOCIETY,HISTORIC PRESERVATION,,MUSKEGON,MI,561 WEST WESTERN AVE,MUSKEGON,MI,0.0,0.0
